17	17
135	240
2160	3840
0	0	-150.469	-235.788
240	0	132.67	-235.16
480	0	414.991	-229.776
720	0	693.877	-218.253
960	0	965.357	-200.366
1200	0	1226.56	-184.621
1440	0	1482.76	-176.915
1680	0	1739.13	-173.467
1920	0	1996.7	-173.397
2160	0	2256.81	-175.975
2400	0	2520.37	-179.269
2640	0	2786.59	-180.502
2880	0	3054.74	-181.153
3120	0	3325.61	-180.07
3360	0	3596.68	-173.148
3600	0	3863.99	-165.329
3839	0	4127.83	-160.284
0	135	-150.822	-76.5227
240	135	131.109	-76.8771
480	135	410.779	-72.9079
720	135	686.777	-64.4697
960	135	957.525	-50.2108
1200	135	1220.75	-37.8305
1440	135	1479.6	-32.0813
1680	135	1737.94	-28.3859
1920	135	1997.01	-27.3795
2160	135	2257.91	-28.5804
2400	135	2521.23	-30.5913
2640	135	2786.82	-30.3042
2880	135	3054.18	-29.8291
3120	135	3323.33	-28.573
3360	135	3593.13	-21.8715
3600	135	3860.74	-15.1932
3839	135	4124.98	-11.2537
0	270	-150.365	82.6832
240	270	130.091	79.409
480	270	408.434	82.4583
720	270	681.904	88.0963
960	270	952.354	101.506
1200	270	1216.49	111.859
1440	270	1476.83	115.331
1680	270	1736.72	120.542
1920	270	1996.86	122.258
2160	270	2258.4	121.816
2400	270	2521.69	120.217
2640	270	2787.1	121.944
2880	270	3054.32	122.702
3120	270	3322.38	123.114
3360	270	3591.26	128.919
3600	270	3858.59	134.655
3839	270	4122.63	137.354
0	405	-146.857	241.743
240	405	133.591	238.65
480	405	411.752	248.545
720	405	681.452	255.369
960	405	948.934	264.288
1200	405	1212.6	270.169
1440	405	1474.73	273.013
1680	405	1735.75	276.09
1920	405	1996.69	278.883
2160	405	2258.81	279.06
2400	405	2522.4	278.638
2640	405	2787.85	278.418
2880	405	3055.64	277.314
3120	405	3323.49	276.561
3360	405	3591	279.353
3600	405	3857.42	283.28
3839	405	4121.14	285.513
0	540	-139.741	399.844
240	540	139.01	395.378
480	540	414.879	405.181
720	540	682.305	410.764
960	540	948.142	415.417
1200	540	1211.07	419.659
1440	540	1473.39	423.558
1680	540	1734.56	426.152
1920	540	1995.65	428.178
2160	540	2258.1	429.118
2400	540	2521.7	429.626
2640	540	2787.07	429.354
2880	540	3054.9	428.02
3120	540	3323.39	426.957
3360	540	3590.28	429.277
3600	540	3856.45	432.453
3839	540	4120.45	433.866
0	675	-127.459	556.132
240	675	147.559	550.863
480	675	416.562	555.575
720	675	682.834	559.759
960	675	947.817	563.578
1200	675	1210.28	567.617
1440	675	1472.21	571.604
1680	675	1733.14	574.256
1920	675	1994.33	576.261
2160	675	2256.81	577.501
2400	675	2520.3	578.373
2640	675	2785.51	578.597
2880	675	3052.95	578.029
3120	675	3322.34	576.96
3360	675	3589.3	579.229
3600	675	3855.68	581.954
3839	675	4120.36	582.677
0	810	-118.132	706.129
240	810	150.684	701.702
480	810	416.568	704.282
720	810	682.717	708.107
960	810	947.193	711.596
1200	810	1209.4	715.421
1440	810	1470.85	719.249
1680	810	1731.62	721.924
1920	810	1992.78	724.112
2160	810	2255.18	725.486
2400	810	2518.48	726.628
2640	810	2783.47	727.505
2880	810	3050.61	727.839
3120	810	3320.41	727.587
3360	810	3588.37	729.081
3600	810	3855.2	731.628
3839	810	4120.71	732.104
0	945	-114.37	852.715
240	945	150.424	850.328
480	945	416.125	852.454
720	945	682.289	856.169
960	945	946.396	859.152
1200	945	1208.64	862.678
1440	945	1469.63	866.45
1680	945	1730.31	869.093
1920	945	1991.1	871.536
2160	945	2253.18	873.209
2400	945	2516.36	874.572
2640	945	2781.22	875.977
2880	945	3048.33	876.977
3120	945	3318.35	877.666
3360	945	3587.17	879.245
3600	945	3854.77	881.762
3839	945	4121.23	882.324
