17	17
135	240
2160	3840
0	0	49.1068	-35.844
240	0	288.411	-32.6463
480	0	531.88	-26.6178
720	0	770.553	-14.9421
960	0	1000.75	-0.947504
1200	0	1226.76	12.7246
1440	0	1445.99	25.611
1680	0	1659.45	37.4757
1920	0	1869.09	45.9495
2160	0	2078.26	54.0697
2400	0	2285.07	61.4235
2640	0	2489.95	67.9994
2880	0	2694.48	76.1971
3120	0	2897.64	83.7946
3360	0	3099.77	89.8047
3600	0	3303.59	91.8744
3839	0	3511.15	91.7201
0	135	45.5764	94.5131
240	135	285.573	99.1504
480	135	527.616	107.885
720	135	764.509	116.77
960	135	993.784	127.772
1200	135	1220.28	138.436
1440	135	1439.78	148.205
1680	135	1654.24	157.985
1920	135	1864.9	164.955
2160	135	2074.49	172.271
2400	135	2281.71	178.612
2640	135	2486.87	184.716
2880	135	2690.66	191.603
3120	135	2893.98	198.076
3360	135	3097.23	204.602
3600	135	3302.32	208.169
3839	135	3511.24	208.962
0	270	40.2001	227.682
240	270	282.82	232.505
480	270	524.051	241.876
720	270	760.396	250.977
960	270	989.461	260.009
1200	270	1215.66	268.624
1440	270	1435.4	276.921
1680	270	1650.57	283.784
1920	270	1862.65	289.102
2160	270	2072.26	295.19
2400	270	2279.53	300.723
2640	270	2485.35	306.033
2880	270	2688.15	313.241
3120	270	2890.92	317.655
3360	270	3094.58	323.452
3600	270	3300.35	327.954
3839	270	3511.51	329.924
0	405	36.6693	367.643
240	405	282.354	371.835
480	405	523.796	380.461
720	405	759.786	389.725
960	405	987.983	396.4
1200	405	1213.71	403.365
1440	405	1433.85	410.632
1680	405	1649.99	415.442
1920	405	1862.87	420.125
2160	405	2072.24	424.603
2400	405	2279.06	430.168
2640	405	2484.33	434.711
2880	405	2686.37	440.344
3120	405	2889.06	443.667
3360	405	3093.16	448.34
3600	405	3298.21	452.362
3839	405	3510.41	454.607
0	540	36.8682	510.231
240	540	284.063	513.67
480	540	524.623	520.385
720	540	759.089	528.082
960	540	987.51	533.205
1200	540	1212.2	538.804
1440	540	1432.66	545.006
1680	540	1648.98	548.515
1920	540	1862.17	552.871
2160	540	2071.88	557.05
2400	540	2279.28	561.132
2640	540	2484.22	565.479
2880	540	2685.71	568.989
3120	540	2888.39	572.166
3360	540	3093.58	576.446
3600	540	3296.12	580.085
3839	540	3508.96	581.978
0	675	37.7836	651.736
240	675	284.835	655.016
480	675	524.593	659.94
720	675	758.486	666.161
960	675	987.814	670.99
1200	675	1212.68	675.568
1440	675	1433.1	679.827
1680	675	1648.33	682.086
1920	675	1861.26	685.172
2160	675	2071.09	689.185
2400	675	2278.91	692.615
2640	675	2483.58	695.586
2880	675	2685.34	697.93
3120	675	2888.01	700.694
3360	675	3094.1	704.556
